S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,165,164,568,"21,348","96,149"
1,Amarda,19,19,51,"2,078","9,306"
2,Badampur,5,5,28,"1,085","4,777"
3,Bhaduasole,7,7,18,459,"2,363"
4,Chhatra,7,7,25,850,"3,718"
5,Deosole,10,9,36,"1,411","6,635"
6,Gadighaty,8,8,21,"1,010","4,110"
7,JHATIADA,16,16,46,"1,861","8,439"
8,Kamardiha,10,10,44,"1,698","8,082"
9,Khuntapal,12,12,46,"1,556","6,790"
10,Naki Chua,11,11,43,"1,668","7,199"
11,Nalagaja,15,15,47,"1,867","8,648"
12,Raghabpur,9,9,26,964,"4,334"
13,Rasgobindapur,7,7,34,"1,212","5,445"
14,Sanamanida,10,10,21,903,"4,056"
15,Saramula,10,10,44,"1,384","6,420"
16,Totapada,9,9,38,"1,342","5,827"
,Total,165,164,568,"21,348","96,149"
