S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,164,164,542,"22,644","1,04,767"
1,Bhaliadal,6,6,23,778,"4,015"
2,Bharandia,10,10,25,"1,282","5,812"
3,Champajhar,16,16,53,"1,973","9,045"
4,Dhatikidiha,3,3,10,486,"2,285"
5,DIGDHAR,6,6,15,"1,077","4,490"
6,Hatigoda,11,11,46,"1,170","5,829"
7,Jarak,11,11,37,"1,479","6,789"
8,KENDUJUANI,10,10,23,"1,302","6,066"
9,KESHDIHA,6,6,43,"1,696","7,756"
10,Khandabandha,13,13,35,"1,444","6,304"
11,MOHULDIHA,4,4,20,850,"3,945"
12,Padiabeda,12,12,33,"1,373","6,208"
13,Salchua,9,9,33,"1,021","4,918"
14,Saleibeda,10,10,24,981,"4,601"
15,Satkosia,6,6,40,"1,263","5,801"
16,TALAPADA,13,13,32,"1,470","6,800"
17,Taramara,7,7,19,"1,086","5,023"
18,Thakurmunda,11,11,31,"1,913","9,080"
,Total,164,164,542,"22,644","1,04,767"
