S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,61,61,84,"1,737","9,126"
1,Badagotha,1,1,1,45,105
2,Beruhanbari,4,4,4,64,290
3,Durudura,2,2,3,63,338
4,Gumi,8,8,11,293,"2,001"
5,Jakeda,13,13,20,313,"1,554"
6,Kaptapalli,17,17,19,367,"1,887"
7,Korada,2,2,3,63,311
8,Maichheli,2,2,8,152,751
9,Malisahi,3,3,3,69,311
10,Nuagaon,1,1,2,31,130
11,Paradhipi,1,1,1,59,254
12,Sikrida,1,1,1,15,70
13,Singarapalli,1,1,1,49,390
14,Udayapur,5,5,7,154,734
,Total,61,61,84,"1,737","9,126"
