S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,50,50,139,"8,058","32,014"
1,Areda,2,2,4,427,"1,539"
2,BADADOHEL,3,3,6,549,"2,273"
3,Badi,1,1,5,380,"1,770"
4,Bargaon,3,3,5,303,"1,483"
5,Bhojpur,1,1,1,117,517
6,Bhuliasikuan,1,1,2,49,184
7,Birighat,2,2,8,427,"1,724"
8,Chanabeda,1,1,4,202,"1,009"
9,Dabri,3,3,11,660,"1,753"
10,Dohelpada,2,2,4,167,979
11,Duajhar,3,3,9,583,"2,321"
12,Kendupati,2,2,3,224,915
13,Khasbahal,2,2,6,557,"1,844"
14,Khudpej,1,1,2,128,553
15,Kirkita,2,2,15,583,"2,118"
16,Lanji,6,6,13,537,"2,757"
17,Mandosil,2,2,2,227,"1,134"
18,Nehena,1,1,2,96,447
19,Ranimunda,4,4,8,437,"1,599"
20,Risigaon,2,2,2,225,742
21,Sana Maheswar,3,3,10,312,"1,345"
22,Sardhapur,2,2,9,428,"1,623"
23,Sunari Sikuan,1,1,8,440,"1,385"
,Total,50,50,139,"8,058","32,014"
