S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,159,155,603,"29,640","1,29,148"
1,Agrain,6,6,19,"1,139","4,964"
2,BHELLA,4,4,20,"1,067","4,225"
3,Budhi Komna,5,5,16,"1,194","5,095"
4,DARLIPADA,4,4,27,910,"5,346"
5,Deodhara,3,3,11,422,"2,356"
6,DHORLAMUNDA,2,2,18,587,"3,298"
7,Gandamer,5,5,14,868,"3,758"
8,JADAMUNDA,4,4,23,"1,217","5,683"
9,Jatgarh,4,4,22,693,"3,726"
10,Jhagarai,3,3,20,"1,062","4,489"
11,KANDETARA,2,2,10,786,"3,232"
12,Komna,3,3,21,"1,431","5,894"
13,Konabira,8,7,24,842,"4,647"
14,Kureswar,6,6,27,"1,475","6,995"
15,Kurumpuri,10,10,30,"1,705","7,213"
16,LAKHNA,5,5,25,"1,194","4,076"
17,Maniguda,4,4,12,658,"2,287"
18,Michha Pali,6,6,22,886,"3,609"
19,MUNDAPALA,3,3,13,474,"1,857"
20,NUAGAON,4,4,17,"1,123","4,695"
21,Palsipani,2,2,16,491,"2,236"
22,Pendrawan,10,9,28,"1,253","5,333"
23,POINER,3,3,12,510,"2,198"
24,Rajana,3,2,12,548,"2,637"
25,Samarsing,3,3,7,535,"2,141"
26,Sialati,10,9,32,"1,861","7,677"
27,Silva,4,4,20,"1,003","3,947"
28,Soseng,9,9,16,511,"2,243"
29,Sunabeda,13,13,25,884,"3,672"
30,TARBOD,3,3,13,597,"2,582"
31,THIKAPALI,4,4,15,979,"4,009"
32,TIKRAPADA,4,4,16,735,"3,028"
,Total,159,155,603,"29,640","1,29,148"
