S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,95,95,294,"14,939","61,248"
1,Amanara,6,6,12,734,"2,760"
2,Amsena,1,1,1,152,709
3,Beltukuri,2,2,7,273,"1,220"
4,Bhainsatal,1,1,1,8,37
5,Bhaleswar,3,3,11,702,"3,141"
6,Bhanpur,2,2,15,979,"4,015"
7,BHARUAMUNDA,4,4,14,434,"1,900"
8,Biromal,1,1,1,144,475
9,Bisora,3,3,8,300,"1,223"
10,Boirbhadi,2,2,11,457,"1,622"
11,BUDHIPALI,1,1,2,185,755
12,Chulavat,3,3,17,672,"2,457"
13,Darlimunda,2,2,17,712,"2,857"
14,Dharam Bandha,2,2,3,34,123
15,DUMERPANI,2,2,6,309,"1,266"
16,GODFULLA,3,3,7,313,"1,893"
17,Jampani,4,4,21,810,"2,985"
18,Kadomeri,2,2,7,331,"1,423"
19,Kendubahara,7,7,18,673,"2,551"
20,Kermeli,7,7,13,349,"1,603"
21,Khairani,2,2,6,518,"2,016"
22,Khutbanveera,6,6,10,"1,032","4,004"
23,Kodomeri,2,2,5,282,"1,289"
24,Kotenchuan,6,6,27,"1,176","5,590"
25,KULIA BANDHA,3,3,5,267,"1,025"
26,MOTA NUAPADA,8,8,20,"1,124","4,195"
27,Parkod,1,1,2,83,461
28,Saipala,2,2,11,298,"1,163"
29,Saliha,2,2,6,434,"1,866"
30,Tanwat,5,5,10,"1,154","4,624"
,Total,95,95,294,"14,939","61,248"
