S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,232,229,402,"17,148","71,027"
1,Budaguda,13,12,35,"1,174","4,937"
2,Dhamunipanga,20,20,27,"1,200","5,260"
3,Kalyansingpur,13,13,31,"1,829","8,630"
4,Kandhakhatipadu,9,9,16,606,"2,431"
5,Korapa,18,18,35,"1,398","5,759"
6,Majhiguda,9,9,16,862,"3,358"
7,Narayanpur,18,18,29,"1,095","4,508"
8,Parsali,23,22,35,638,"2,743"
9,Polama,13,13,20,929,"3,518"
10,Pujariguda,13,13,26,"1,080","4,668"
11,Seriguma,26,25,36,"1,750","7,244"
12,Sikarapai,18,18,34,"1,973","7,998"
13,Singari,18,18,22,961,"3,734"
14,Sunakhandi,21,21,40,"1,653","6,239"
,Total,232,229,402,"17,148","71,027"
