S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,417,405,787,"38,323","1,50,478"
1,Adajore,25,25,49,"1,755","7,041"
2,Bankamba,13,13,18,"1,382","5,418"
3,Chandragiri,24,22,44,"1,701","6,650"
4,Dongasil,34,34,55,"2,383","9,488"
5,Dudukabahal,10,10,21,998,"4,380"
6,Godibali,35,34,50,"1,186","5,483"
7,Gorakhapur,14,14,35,"1,984","8,530"
8,Hadiguda,10,10,26,"1,388","5,317"
9,Kashipur,4,3,30,"1,872","7,236"
10,Khurigaon,10,10,22,"1,149","4,661"
11,Kodipari,26,26,43,"2,114","8,329"
12,Kucheipodar,10,10,29,"2,047","7,604"
13,MAIKANCH,14,14,31,"1,871","7,193"
14,Mandibisi,24,23,39,"1,194","4,724"
15,Manusgaon,19,18,35,"1,575","6,453"
16,Nakatiguda,7,7,13,"1,101","4,310"
17,Podapadi,8,8,20,"1,398","5,506"
18,Renga,9,8,25,"1,060","4,146"
19,Sankarada,31,30,43,"2,062","8,662"
20,Sinduraghati,11,11,28,"1,280","4,863"
21,SIRIPAI,33,31,41,948,"4,170"
22,Sunger,17,17,38,"1,079","4,111"
23,Talajhiri,18,17,39,"1,654","6,592"
24,Tikiri,11,10,13,"3,142","9,611"
,Total,417,405,787,"38,323","1,50,478"
