S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,60,49,100,"5,036","20,956"
1,Adajore,1,1,1,65,288
2,Chandragiri,7,5,10,349,"1,349"
3,Dongasil,6,6,14,882,"3,734"
4,Dudukabahal,1,1,3,141,597
5,Godibali,6,5,7,156,655
6,Gorakhapur,2,2,9,554,"2,627"
7,Hadiguda,1,1,2,52,192
8,Khurigaon,2,2,7,179,752
9,Kodipari,5,5,10,518,"2,045"
10,Kucheipodar,1,1,7,347,"1,584"
11,MAIKANCH,3,3,4,458,"1,821"
12,Mandibisi,2,1,1,2,4
13,Manusgaon,5,4,5,214,875
14,Nakatiguda,2,2,2,101,410
15,Renga,2,1,1,78,321
16,Sankarada,3,2,5,429,"1,706"
17,Siripai,3,1,3,94,384
18,Sunger,4,4,7,182,681
19,Talajhiri,2,1,1,105,402
20,Tikiri,2,1,1,130,529
,Total,60,49,100,"5,036","20,956"
