S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,103,102,293,"10,661","41,990"
1,Bhamini,5,5,19,613,"2,506"
2,Boothingi,10,10,23,651,"2,779"
3,G Gulumunda,10,10,35,729,"3,031"
4,Gogupadu,10,10,40,"1,012","4,123"
5,Gulumunda,1,1,4,303,"1,296"
6,Gulunthi,12,12,23,777,"3,008"
7,Kujendri,2,2,3,222,879
8,Nilamguda,9,9,32,"1,302","4,950"
9,Parikiti,16,15,45,"1,433","6,383"
10,Penkam,6,6,22,778,"3,084"
11,Sdhamini,18,18,32,"1,303","4,915"
12,Ukkumba,4,4,15,"1,538","5,036"
,Total,103,102,293,"10,661","41,990"
