S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,253,247,366,"21,396","94,761"
1,BADA ALUBADI,8,8,13,914,"3,818"
2,Bada Erkubadi,14,14,16,724,"3,175"
3,Bairagi Halua,10,10,15,664,"2,737"
4,Baising,14,14,18,920,"3,536"
5,Chandili,1,1,3,266,588
6,Dangalodi,11,10,13,610,"3,015"
7,Durgapadu,5,5,8,765,"3,485"
8,Gajigam,6,4,9,794,"3,667"
9,Gumma,25,25,30,"1,146","4,998"
10,Halua,10,10,20,"1,200","6,179"
11,Hataseskhal,8,8,12,812,"3,441"
12,Jemadeipentha,12,11,16,827,"3,637"
13,Kampamaligam,5,5,8,495,"2,452"
14,Karlakana,2,2,5,364,"1,680"
15,Karubai,5,5,8,445,"1,757"
16,Kereda,4,4,11,669,"2,644"
17,Kothapeta,5,5,5,680,"3,104"
18,Kuli,7,7,12,528,"2,227"
19,Kumbhikota,17,17,22,"1,299","6,491"
20,KUMTALPETA,1,1,2,161,655
21,Kutuli,6,6,13,847,"3,744"
22,Matikana,19,18,20,633,"2,833"
23,Mirabali,7,6,9,538,"2,456"
24,Nakiti,12,12,14,705,"3,106"
25,Penta,4,4,5,851,"3,720"
26,Pipiliguda,6,6,12,"1,012","4,319"
27,Pitamahal,14,14,19,"1,365","6,263"
28,Tadama,15,15,28,"1,162","5,034"
,Total,253,247,366,"21,396","94,761"
