S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,123,123,615,"17,731","74,992"
1,Babuniktimal,15,15,48,844,"3,233"
2,Baunsalga,6,6,36,"1,352","5,774"
3,Garposh,5,5,34,894,"4,166"
4,Gobindpur,3,3,10,164,736
5,Jarabaga,12,12,55,"1,607","6,651"
6,Kabribahal,3,3,23,897,"3,819"
7,Kesaibahal,8,8,49,"1,544","6,488"
8,Kinabaga,7,7,42,"1,288","5,743"
9,Kutarimal,8,8,38,"1,294","5,331"
10,Lariapali,11,11,44,"1,096","4,768"
11,Mahulpali,9,9,29,811,"3,103"
12,Pindatathar,5,5,27,"1,048","4,282"
13,Rabaga,8,8,42,969,"4,708"
14,Rangiatikira,9,9,42,"1,193","5,147"
15,Sagra,5,5,29,925,"3,985"
16,Turei,6,6,40,842,"3,091"
17,Uskapat,3,3,27,963,"3,967"
,Total,123,123,615,"17,731","74,992"
