S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,196,193,523,"18,250","74,158"
1,Badmal,6,6,19,564,"2,271"
2,Bhadarma,17,17,51,"1,235","5,255"
3,BHOJA PUR,4,4,9,510,"2,199"
4,Chakuliabhal,11,11,22,922,"3,357"
5,Dhudipali,10,10,51,"1,511","6,004"
6,Dimirimunda,16,15,34,"1,138","4,510"
7,Gunduruchua,11,11,28,"1,276","4,603"
8,Jamankira,8,8,21,695,"2,946"
9,Kanadhepa,5,5,15,579,"2,169"
10,Kasada,5,5,22,502,"2,196"
11,Katanga Pani,13,13,27,806,"3,447"
12,Kharsanmal,9,9,30,"1,032","4,263"
13,Kulundi,13,12,18,"1,112","4,563"
14,Mahada,7,7,15,508,"2,634"
15,Mundenpali,7,7,25,"1,116","4,724"
16,Phasimal,9,9,21,678,"2,822"
17,Sarda,5,5,11,333,"1,258"
18,Siridi,11,10,19,745,"3,192"
19,Subarnapali,6,6,22,"1,155","4,289"
20,Tikiba,8,8,26,455,"1,821"
21,Tikili Para,15,15,37,"1,378","5,635"
,Total,196,193,523,"18,250","74,158"
