S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,110,110,474,"13,028","51,514"
1,Ardabahal,4,4,22,552,"2,528"
2,Bankey,8,8,32,742,"2,809"
3,Bauriguda,5,5,27,940,"3,727"
4,Boxma,11,11,28,742,"2,719"
5,Chandinimal,2,2,10,406,"1,661"
6,Gochhara,7,7,40,"1,402","5,168"
7,Hadipali,3,3,11,516,"1,942"
8,K.jamankira,10,10,40,990,"4,373"
9,Khandokata,2,2,3,141,509
10,Kudapada,3,3,7,185,854
11,Kuntra,7,7,39,"1,442","5,614"
12,Kusami,8,8,45,"1,056","4,271"
13,Kutrachuan,3,3,14,524,"2,025"
14,Parua Bhadi,4,4,23,923,"3,429"
15,Salebhadi,12,12,37,972,"3,806"
16,Tainsar,5,5,27,485,"2,107"
17,Telitileimal,16,16,69,"1,010","3,972"
,Total,110,110,474,"13,028","51,514"
