S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,45,45,327,"11,216","48,089"
1,Bamaloi,2,2,25,"1,110","4,804"
2,Ghichamura,2,2,31,"1,166","4,909"
3,Jangla,3,3,36,"1,128","4,925"
4,Jhankarpali,6,6,33,"1,582","6,664"
5,Katarbaga,1,1,10,624,"2,638"
6,Khinda,1,1,4,101,442
7,Kinaloi,5,5,27,982,"4,095"
8,Laida,4,4,13,434,"1,782"
9,Lapanga,2,2,6,273,"1,125"
10,Nishanbhanga,3,3,28,"1,033","4,413"
11,Rengali,1,1,39,649,"2,997"
12,Rengloi,5,5,21,689,"2,758"
13,Salad,5,5,10,274,"1,147"
14,Tabadabahal,3,3,32,947,"4,443"
15,Tamparkella,2,2,12,224,947
,Total,45,45,327,"11,216","48,089"
