S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,159,157,509,"24,552","1,03,138"
1,Bagabar,10,10,37,"2,189","8,027"
2,Bahalpadar,19,19,45,"1,687","6,883"
3,Champamal,3,3,20,"1,180","5,059"
4,Durjantaila,11,11,35,"1,227","7,168"
5,Hilunga,8,8,39,"1,638","6,970"
6,Jatesingha,10,10,29,"1,867","7,944"
7,Kamira,5,5,12,"1,210","5,362"
8,Kenjhariapali,16,15,49,"1,838","7,806"
9,Khandahata,21,21,72,"2,686","11,177"
10,Luthur Pank,4,4,21,699,"2,813"
11,Mursundhi,15,15,53,"2,210","9,788"
12,Pita Mahul,11,11,30,"1,512","6,771"
13,Sangrampur,11,11,22,957,"3,761"
14,Subalaya,5,4,8,"1,629","4,167"
15,Uffula,10,10,37,"2,023","9,442"
,Total,159,157,509,"24,552","1,03,138"
