S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,46,44,109,"2,368","10,850"
1,Baladi,3,2,2,30,161
2,Bisi Munda,3,3,9,139,597
3,Chhakormal,10,9,10,256,"1,278"
4,Hardokhol,1,1,5,102,459
5,Janmura,4,4,15,320,"1,459"
6,Kalapathar,3,3,8,171,793
7,Khaliapali,3,3,13,312,"1,331"
8,Khari,2,2,2,17,68
9,Kharjura,2,2,7,30,133
10,Lachhipur,1,1,4,73,358
11,Mallikmunda,3,3,11,254,"1,087"
12,Mayurudan,6,6,6,239,"1,346"
13,Narayan Pur,1,1,3,77,294
14,Rengali,4,4,14,348,"1,486"
,Total,46,44,109,"2,368","10,850"
