S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,60,58,99,"3,250","13,755"
1,Badbhainro,5,5,9,226,948
2,Baghia,3,2,4,155,779
3,Balikhamar,1,1,2,34,143
4,BRAHAMANI,2,2,5,301,"1,323"
5,Charvhata,6,6,9,182,762
6,Deolpadar,1,1,1,26,125
7,Dubla,2,2,2,121,484
8,Jarajaring,2,2,4,144,618
9,Jhartarvha,3,3,3,72,294
10,Kamsara,3,3,4,87,368
11,Kata Pali,2,2,3,107,377
12,Kumbhar Munda,4,4,6,143,548
13,Maradu Guchha,3,3,4,87,406
14,Menda,1,1,1,17,57
15,Paikbahal,2,2,3,48,176
16,Pua,2,2,2,99,260
17,Ranisarda,2,2,6,366,"1,497"
18,Sargaj,6,5,13,414,"1,895"
19,Sibtula,3,3,6,469,"2,050"
20,Singari,4,4,5,83,333
21,Tullunda,3,3,7,69,312
,Total,60,58,99,"3,250","13,755"
