S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,65,65,546,"15,472","66,851"
1,Bamdera,4,4,39,491,"2,314"
2,Barangakachhar,8,8,61,"1,535","6,339"
3,Bargaon,2,2,20,784,"3,506"
4,Bhoipali,4,4,32,991,"4,206"
5,Dandjamira,3,3,22,812,"3,558"
6,Ekma,2,2,22,633,"3,092"
7,Fulbari,10,10,42,"1,419","5,623"
8,Itma,5,5,32,"1,052","4,206"
9,Jarangloi,5,5,52,"1,392","6,164"
10,Pamra,2,2,29,970,"4,465"
11,Rungaon,6,6,55,"1,188","5,437"
12,Sahajbahal,5,5,58,"1,761","6,940"
13,Tikilipara,2,2,28,862,"3,753"
14,Timna,1,1,16,519,"2,477"
15,Tudalaga,6,6,38,"1,063","4,771"
,Total,65,65,546,"15,472","66,851"
