S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,137,137,323,"20,606","83,924"
1,Ankelbira,12,12,22,971,"4,187"
2,Balinga,6,6,16,"1,116","4,380"
3,Duduka,5,5,14,826,"3,526"
4,Durubaga,7,7,13,692,"2,804"
5,Garjanjore,6,6,16,"1,488","6,155"
6,Gopalpur,6,6,19,"2,151","8,123"
7,Hemgir,9,9,27,"1,588","6,297"
8,Jharpalam,7,7,20,972,"3,758"
9,Julumbahal,12,12,17,795,"3,588"
10,Kanaktura,7,7,19,"1,024","4,103"
11,Kanika,10,10,18,"1,449","6,147"
12,Kendudihi,5,5,16,963,"3,888"
13,Kuchedega,9,9,15,655,"2,827"
14,Laikera,7,7,23,812,"3,313"
15,Munderkhet,4,4,7,606,"2,618"
16,Sanghumunda,8,8,13,831,"3,334"
17,Sumra,6,6,14,"1,256","4,953"
18,Tapria,6,6,17,"1,305","5,019"
19,Tumlia,5,5,17,"1,106","4,904"
,Total,137,137,323,"20,606","83,924"
