S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,29,27,92,"2,577","11,239"
1,Badakantakula,2,2,2,14,66
2,Badakera,3,3,19,623,"2,901"
3,Balasinga,2,2,2,46,230
4,Bantala,1,1,2,16,73
5,Baragounia,2,1,5,136,585
6,Chheliapada,1,1,1,13,66
7,Dhokuta,1,1,3,82,351
8,Gadatarasa,1,1,3,38,146
9,Kangula Bentapur,1,1,2,138,603
10,Khinda,3,2,6,128,544
11,Manikajodi,1,1,5,66,297
12,Matia Sahi,5,5,25,717,"3,084"
13,Nandapur,1,1,1,9,51
14,Nuamauza,1,1,3,207,852
15,Saradhapur,2,2,3,104,443
16,Tikarapada,2,2,10,240,947
,Total,29,27,92,"2,577","11,239"
