S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,75,73,269,"6,079","26,477"
1,Antulia,4,4,25,396,"2,081"
2,Badakantakula,4,4,12,433,"1,835"
3,Badakera,3,3,19,623,"2,901"
4,Balanga,5,5,16,189,823
5,Balasinga,3,3,4,90,397
6,Baluakata,1,1,1,40,286
7,Bantala,1,1,2,16,73
8,Baragounia,3,2,7,156,711
9,Bedashasan,1,1,3,36,152
10,Chheliapada,1,1,1,13,66
11,Dhokuta,1,1,3,82,351
12,Gadatarasa,1,1,3,38,146
13,Jagannathpur,5,5,17,420,"1,508"
14,Kangula Bentapur,2,2,5,352,"1,538"
15,Khinda,3,2,6,128,544
16,Kothabhuin,2,2,6,104,473
17,Kumurisinga,1,1,5,93,414
18,Manikajodi,4,4,19,274,"1,341"
19,Matia Sahi,5,5,25,717,"3,084"
20,Nandapur,4,4,7,80,427
21,Nuamauza,2,2,13,396,"1,659"
22,Purunakot,6,6,24,433,"1,530"
23,Saradhapur,6,6,18,351,"1,447"
24,Tainsi,2,2,7,186,847
25,Tikarapada,5,5,21,433,"1,843"
,Total,75,73,269,"6,079","26,477"
