S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,47,46,177,"3,502","15,238"
1,Antulia,4,4,25,396,"2,081"
2,Badakantakula,2,2,10,419,"1,769"
3,Balanga,5,5,16,189,823
4,Balasinga,1,1,2,44,167
5,Baluakata,1,1,1,40,286
6,Baragounia,2,1,2,20,126
7,Bedashasan,1,1,3,36,152
8,Jagannathpur,5,5,17,420,"1,508"
9,Kangula Bentapur,1,1,3,214,935
10,Kothabhuin,2,2,6,104,473
11,Kumurisinga,1,1,5,93,414
12,Manikajodi,3,3,14,208,"1,044"
13,Nandapur,3,3,6,71,376
14,Nuamauza,1,1,10,189,807
15,Purunakot,6,6,24,433,"1,530"
16,Saradhapur,4,4,15,247,"1,004"
17,Tainsi,2,2,7,186,847
18,Tikarapada,3,3,11,193,896
,Total,47,46,177,"3,502","15,238"
