S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,124,120,291,"9,411","43,672"
1,Aida,7,7,14,457,"2,221"
2,Ambasara Munda,16,16,38,"1,052","5,110"
3,Jamudoli,4,3,6,115,483
4,Kampala,4,4,9,275,"1,244"
5,Kandhapada,3,3,6,207,950
6,Kantapada,6,6,16,600,"2,676"
7,Kiakata,3,3,8,241,991
8,Krutibasapur,4,4,8,205,888
9,Kudugan,7,7,18,764,"3,292"
10,Kurumtap,4,4,17,423,"1,897"
11,Luhasinga,4,4,6,168,897
12,Lunahandi,2,1,2,44,191
13,Maimura,10,10,21,620,"2,913"
14,Nagaon,4,4,10,448,"2,025"
15,Paika Sahi,4,3,14,630,"2,892"
16,Pedipathara,3,3,12,425,"2,078"
17,Purunamanitri,3,3,7,225,997
18,Sanahulla,8,8,23,995,"4,980"
19,Sapaghera,6,6,13,287,"1,395"
20,Tapadhola,2,2,5,135,626
21,Thakura Gada,10,9,20,719,"3,273"
22,Tusara,10,10,18,376,"1,653"
,Total,124,120,291,"9,411","43,672"
