S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,37,36,88,"4,582","21,331"
1,Badakerjang,1,1,1,6,22
2,Bauli Gada,2,2,4,186,820
3,Bhogabereni,5,5,9,412,"1,918"
4,Budhapanka,6,5,11,883,"4,244"
5,Gotamara,1,1,6,154,677
6,Jamunali,1,1,1,231,"1,155"
7,Kandasara,1,1,10,13,161
8,Kanjara,1,1,2,8,32
9,Kukudanga,4,4,8,845,"3,885"
10,Kulad,1,1,3,41,208
11,Kurudol,2,2,5,234,"1,170"
12,Mahidharpur,1,1,3,342,"1,313"
13,Nuahata,3,3,9,301,"1,187"
14,Raniguda Jungle,1,1,5,430,"2,140"
15,Samantarapur (kha),1,1,1,93,420
16,Santarapur,1,1,3,165,818
17,Shakosinga,3,3,4,166,850
18,Talamul,1,1,2,69,298
19,Tubey,1,1,1,3,13
,Total,37,36,88,"4,582","21,331"
