S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,45,45,130,"4,792","22,266"
1,Bahal Sahi,1,1,2,154,807
2,Balipata,4,4,12,321,"1,536"
3,Barapada,2,2,9,322,"1,436"
4,Barasahi,2,2,8,302,"1,437"
5,Basantapur,1,1,3,245,"1,070"
6,Changudia,2,2,9,178,910
7,Durgapur,1,1,2,158,684
8,Jarapada,1,1,5,194,833
9,Jerang Dehury Sahi,1,1,1,24,96
10,Kamasala,4,4,9,290,"1,450"
11,Katada,4,4,8,184,852
12,Korada,2,2,11,246,"1,176"
13,Kosala,3,3,16,577,"3,000"
14,Kukurupeta,2,2,4,173,784
15,Machhakuta,2,2,2,67,301
16,Natada,2,2,3,224,804
17,Nisha,2,2,7,356,"1,718"
18,Nuagaon,2,2,3,38,156
19,Parang,3,3,8,433,"1,767"
20,Patakamunda,1,1,1,2,40
21,Raijharan,1,1,1,89,339
22,Tangira,1,1,3,130,646
23,Tukuda,1,1,3,85,424
,Total,45,45,130,"4,792","22,266"
