S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,177,950,"44,263","1,91,637"
1,Arkil,5,26,"1,084","5,272"
2,Bada Tribida,7,24,"1,703","7,896"
3,Badagunduri,6,27,"1,796","7,976"
4,Bajrakot,7,37,"1,899","9,194"
5,Balipasi,16,70,"2,444","10,893"
6,Bijigol,8,54,"2,750","11,716"
7,Biru,7,26,875,"3,913"
8,Burukuna,12,48,"2,282","10,010"
9,Dalak,4,28,"1,542","6,234"
10,Deranga,4,35,"1,548","7,425"
11,Gadasila,7,24,"1,696","7,172"
12,Gandamala,3,25,"1,079","4,419"
13,Hanumanpur,8,47,"1,108","4,847"
14,Hariharpur,10,52,"1,831","8,059"
15,Jarada,6,18,886,"3,596"
16,Kakudia,4,25,"1,118","4,976"
17,Kamarei,10,34,"3,150","11,397"
18,Kaniha,11,72,"2,667","11,698"
19,Karnapal,3,28,"1,596","6,383"
20,Kulei,6,40,"1,618","7,264"
21,Kuluma,5,25,"1,380","5,955"
22,Parabila,5,38,"1,963","8,750"
23,Rengali,3,25,"1,380","5,520"
24,Samal,5,29,519,"2,295"
25,Sana Tribida,6,31,"1,197","5,548"
26,Susuba,5,37,"2,001","8,311"
27,Talapada,4,25,"1,151","4,918"
,Total,177,950,"44,263","1,91,637"
