S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,57,55,172,"3,889","18,408"
1,Ambapala,6,6,14,260,"1,151"
2,Angapada,2,2,8,234,"1,017"
3,Bamur,2,2,6,137,560
4,Bileinali,3,2,10,155,761
5,Dhadarpal,3,3,4,40,156
6,Dhaurapali,1,1,7,361,"1,634"
7,Gaon Bainda,2,1,7,344,"1,627"
8,Handapa,1,1,2,33,159
9,Jamunali,2,2,10,212,"1,017"
10,Jharabereni,3,3,8,116,543
11,Kadalimunda,5,5,19,419,"2,176"
12,Kanteikolia,2,2,4,89,392
13,Luhamunda,1,1,2,20,103
14,Nakachi,4,4,10,229,"1,169"
15,Nunkapasi,1,1,4,102,464
16,Oskapalli,1,1,2,5,28
17,Rahaniakata,7,7,15,318,"1,607"
18,Sanjamura,9,9,32,629,"2,929"
19,Urukula,2,2,8,186,915
,Total,57,55,172,"3,889","18,408"
