S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,24,22,67,"2,718","11,894"
1,Badasada,1,1,8,217,822
2,Balipasi,1,1,1,13,56
3,Bandhabhuin,2,1,1,27,117
4,Chasagurujanga,1,1,2,43,161
5,Dimiria,1,1,2,25,129
6,Injidi,3,3,9,225,902
7,Jharbeda,1,1,1,34,144
8,Karadapal,1,1,7,255,"1,071"
9,Khamar,3,3,19,"1,246","5,682"
10,Khemla,2,1,2,76,309
11,Namapasi,1,1,1,21,104
12,Nijagada,2,2,2,213,"1,103"
13,Pabitrapur,2,2,6,92,364
14,Parachhat,2,2,4,133,515
15,Sankhamur,1,1,2,98,415
,Total,24,22,67,"2,718","11,894"
