S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,174,171,522,"18,173","84,398"
1,Allori,5,4,18,489,"2,417"
2,Badasada,8,8,26,901,"4,071"
3,Balipasi,6,6,17,352,"1,705"
4,Bandhabhuin,9,8,21,658,"2,740"
5,Baradiha,6,6,20,468,"2,234"
6,Batisuan,8,8,25,921,"4,720"
7,Chasagurujanga,2,2,10,312,"1,358"
8,Dimiria,6,6,12,193,916
9,Injidi,5,5,15,425,"1,809"
10,Iswar Nagar,9,9,25,"1,225","5,776"
11,Jharbeda,10,10,35,"1,083","4,882"
12,Karadapal,7,7,25,835,"4,031"
13,Khamar,9,9,31,"1,527","7,057"
14,Khemla,8,7,24,568,"2,644"
15,Kunjam,2,2,5,171,723
16,Nagira,8,8,24,659,"3,413"
17,Namapasi,11,11,34,943,"4,401"
18,Nijagada,8,8,20,808,"3,760"
19,Pabitrapur,3,3,9,215,808
20,Parachhat,5,5,15,590,"2,819"
21,Pechamundi,8,8,26,"1,132","4,885"
22,Rajadanga,4,4,10,381,"1,666"
23,Rohila,7,7,25,959,"4,841"
24,Saida,8,8,21,"1,017","4,515"
25,Sankhamur,7,7,15,830,"3,813"
26,Sigada,5,5,14,511,"2,394"
,Total,174,171,522,"18,173","84,398"
