S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,23,23,32,"3,173","12,184"
1,Bada Jorda,2,2,5,203,992
2,Bantol,1,1,1,70,357
3,Brajanathpur,2,2,4,190,"1,000"
4,Dharampur,3,3,4,770,"2,100"
5,Gobara,1,1,1,301,894
6,Gopalprasad,2,2,2,371,"1,229"
7,Gurujanguli,1,1,1,320,"1,442"
8,Jagannathpur,1,1,1,130,570
9,Kalam Chhuin,1,1,2,112,540
10,Kandhal,4,4,4,180,792
11,Kankili,2,2,2,48,211
12,Kumunda,1,1,3,368,"1,508"
13,Padmavatipur,1,1,1,12,70
14,Santhapada,1,1,1,98,479
,Total,23,23,32,"3,173","12,184"
