S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,30,30,34,"3,622","14,960"
1,Barapudgia,2,2,2,138,664
2,Barkani,3,3,3,139,487
3,Bhundi Muhan,2,2,2,297,"1,082"
4,Bhutiar Bahal,1,1,1,54,255
5,Bidighat,1,1,3,343,"1,490"
6,Chandan Bhati,1,1,1,232,989
7,Chikal Bahal,2,2,2,285,"1,112"
8,Jhankar Pali,2,2,3,317,"1,283"
9,Khuntpalli,1,1,1,152,558
10,Kutumdola,1,1,1,243,933
11,Madhiapali,1,1,1,77,338
12,Manhira,2,2,2,24,113
13,Sadei Pali,2,2,2,172,922
14,Sahajbahal,1,1,1,166,696
15,Sakmaa,1,1,1,82,350
16,Sibtala,1,1,1,160,675
17,Sika Chida,4,4,4,264,"1,097"
18,Tusura Bahal,2,2,3,477,"1,916"
,Total,30,30,34,"3,622","14,960"
