S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,70,70,168,"12,273","52,928"
1,Bagdore,6,6,6,718,"4,346"
2,Bahabal,2,2,2,628,"2,582"
3,Balikhamar,1,1,4,195,762
4,Behera Munda,4,4,7,790,"3,664"
5,Bharua Pali,1,1,2,110,518
6,Darlipali,4,4,9,532,"2,489"
7,Dhumabhata,4,4,13,329,"1,433"
8,Gambhari,2,2,2,275,"1,168"
9,Ghagurli,6,6,13,775,"3,385"
10,Juba,7,7,19,"1,111","4,295"
11,Kandhen Jhula,4,4,16,887,"3,815"
12,Kanut,1,1,3,195,852
13,Kapani,6,6,17,915,"4,305"
14,Madhyapur,3,3,12,"1,388","3,814"
15,Mandal,1,1,1,72,331
16,Nunhad,2,2,3,143,560
17,Parlimal,2,2,6,585,"2,886"
18,Pondrijore,4,4,6,966,"3,999"
19,SALANDI,1,1,1,9,72
20,Sarmuhan,4,4,11,708,"3,255"
21,Sulekela,2,2,7,449,"2,079"
22,Tentuli Munda,3,3,8,493,"2,318"
,Total,70,70,168,"12,273","52,928"
