S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,243,765,"51,581","2,27,443"
1,Badapal,7,31,"1,651","6,993"
2,Balia,1,8,519,"3,247"
3,Barunsingh,9,35,"2,100","8,464"
4,Bhimpura,2,5,919,"4,096"
5,Biruan,11,32,"2,344","11,032"
6,Chasakhand,15,42,"2,440","11,035"
7,Dahapada,8,20,"1,446","6,441"
8,Durgadevi,10,23,"1,235","5,069"
9,Gandarda,8,17,859,"3,510"
10,Ganeswarpur,1,6,"1,117","5,104"
11,Ganipur,5,31,"2,164","9,927"
12,Gududa,7,20,"1,485","6,047"
13,Haripur,6,14,"1,076","4,998"
14,Inchudi,3,16,827,"4,065"
15,Kalyanpur,13,30,"1,686","7,169"
16,Karanjia,3,8,"1,571","6,588"
17,Kharidmukhura,12,36,"1,711","8,252"
18,Kuligan,6,30,"2,377","9,398"
19,Kuruda,10,23,"2,068","8,656"
20,Maharajpur,6,19,"1,282","5,863"
21,Mandarpur,8,24,"1,620","6,962"
22,Mangalpur,8,19,"1,074","5,181"
23,Naraharipur,4,24,"1,504","6,527"
24,Nizampur,8,18,"1,109","4,930"
25,Nuagan,13,36,"1,655","6,991"
26,Nuapadhi,4,22,"1,714","7,653"
27,Patripal,8,12,914,"3,768"
28,Remuna,8,20,"1,349","5,690"
29,Saraswatipur,1,14,"1,114","5,021"
30,Sergarh,6,23,"1,295","5,605"
31,Srijang,5,30,"1,576","7,541"
32,Srikrushnapur,2,7,961,"4,121"
33,Sutei,8,13,"1,301","5,754"
34,Talapada,1,15,881,"4,108"
35,Tentulida,11,20,"1,392","6,148"
36,Tundura,5,22,"1,245","5,489"
,Total,243,765,"51,581","2,27,443"
