S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,257,"1,182","3,195","3,43,233","13,36,578"
1,Ambabhona,15,106,192,"15,698","66,058"
2,Attabira,24,74,339,"32,944","1,34,475"
3,Barapali,23,73,189,"29,484","1,07,336"
4,Bargarh,27,62,229,"39,039","1,57,679"
5,Bhatli,16,84,245,"23,520","89,978"
6,Bheden,21,96,400,"32,037","1,27,527"
7,Bijepur,27,109,210,"27,152","1,05,478"
8,Gaisilet,19,102,221,"25,070","92,976"
9,Jharbandha,14,80,265,"20,794","77,840"
10,PAIKMAL,22,125,403,"30,699","1,19,105"
11,Rajbarasambar,22,143,264,"30,848","1,18,551"
12,SOHELLA,27,128,238,"35,948","1,39,575"
,Total,257,"1,182","3,195","3,43,233","13,36,578"
