S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,22,20,32,"3,145","11,517"
1,Badbaunsen,1,1,1,88,328
2,Bairakhpali,1,1,1,110,413
3,Barmunda,1,1,2,77,327
4,Bhatigaon,1,1,1,398,"1,405"
5,Ganthiapali,1,1,1,133,587
6,Jaring,2,1,3,277,"1,004"
7,Jokhipali,2,2,2,180,636
8,Kharmunda,1,1,2,207,729
9,Laumunda,1,1,2,36,130
10,M.sirigida,1,1,2,164,610
11,Pada,3,2,4,188,772
12,Pahandi,1,1,3,211,699
13,Saipali,2,2,3,574,"2,134"
14,Surubali,1,1,1,62,241
15,T.gandpali,2,2,3,257,872
16,Talpadar,1,1,1,183,630
,Total,22,20,32,"3,145","11,517"
