S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,28,27,41,"3,269","12,317"
1,Barhiapali,2,2,2,203,634
2,Barikel,1,1,3,52,218
3,Buden,4,4,6,273,949
4,Charpali,1,1,1,8,37
5,Dahigaon,1,1,2,338,"1,002"
6,Dahita,2,2,4,103,456
7,Jamartala,2,2,3,103,398
8,Kansingha,2,2,4,118,441
9,Khaliapali,2,2,2,100,407
10,Luharpali,5,5,9,"1,160","4,767"
11,Melchhamunda,2,1,1,165,685
12,Palsapali,1,1,1,132,640
13,Purena,1,1,1,286,798
14,Sargibahal,2,2,2,228,885
,Total,28,27,41,"3,269","12,317"
