S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,36,33,80,"4,252","20,193"
1,BALIPOKHARI,3,3,6,538,"2,557"
2,BANDALAMADHIALI,4,4,9,675,"3,082"
3,BAYANBANPUR,1,1,1,31,147
4,DAKHINBAD,2,2,9,458,"2,197"
5,JALAMANDUA,1,1,1,20,181
6,KORIGAN,2,1,1,15,75
7,MALADA,4,4,5,269,"1,265"
8,NAAMI,1,1,5,219,"1,049"
9,NAPANGA,1,1,1,77,368
10,NERADA,1,1,1,14,70
11,PATULI,2,1,1,20,105
12,RAHANIA,2,2,13,498,"2,376"
13,RAJENDRAPUR,2,1,3,288,"1,382"
14,RAMCHANDRAPUR,1,1,1,24,113
15,RANAJIT,1,1,3,443,"2,127"
16,SANASASAN,3,3,8,427,"2,043"
17,SARSADA,2,2,7,113,538
18,TESINGA,3,3,5,123,518
,Total,36,33,80,"4,252","20,193"
