S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,180,484,"49,492","2,45,916"
1,Adhuan,2,9,"1,765","8,754"
2,Andola,8,11,"1,321","7,410"
3,Arandua,12,17,"1,443","6,968"
4,Artung,4,9,"1,318","6,308"
5,Aruha,7,14,"1,406","6,597"
6,BALIMEDA,10,26,"1,938","8,686"
7,Balimunda,13,21,"1,497","8,052"
8,Barandua,9,18,"1,770","8,034"
9,Bideipur,1,8,"1,088","5,400"
10,BINOBABHABENAGAR,2,12,"1,091","5,295"
11,Birasa,10,17,989,"4,929"
12,BRAMHANIGAN,8,23,"2,051","10,016"
13,Chudamani,1,7,905,"4,417"
14,Eram,6,12,"1,324","6,128"
15,Ertal,1,4,"1,007","5,032"
16,Gobindapur,3,8,712,"3,967"
17,Gopabandhu Nagar,2,15,"1,148","4,896"
18,GUAGADIA,4,13,"1,913","8,424"
19,Jagannathprasad,9,20,"1,466","7,969"
20,Jagannathpur,3,11,"1,450","7,255"
21,K Binayakpur,3,12,"1,650","8,392"
22,Karanjadia,5,7,"1,218","6,388"
23,Kismat Krushnapur,1,18,"1,285","7,700"
24,Kumarpur,3,3,938,"4,285"
25,Laxmidaspur,9,26,"1,578","8,770"
26,Lunga,3,12,"1,250","6,228"
27,Naikanidihi,4,17,"1,409","7,671"
28,Narsinghpur,9,17,"1,250","5,744"
29,Nuagan,3,9,"1,617","6,260"
30,Padhuan,3,8,"1,770","8,819"
31,Padmapur,3,13,"1,365","7,368"
32,Rajagharpokhari,8,17,"1,657","8,859"
33,SANAKRUSHNAPUR,2,18,"1,498","7,934"
34,SASUBHUASUNI,1,7,651,"3,200"
35,Sudarsanpur,3,9,"1,709","8,505"
36,Sugo,5,16,"1,045","5,256"
,Total,180,484,"49,492","2,45,916"
