S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,53,52,107,"2,622","11,113"
1,AMBAGAON,1,1,3,62,277
2,BARAGAON,5,5,9,164,703
3,BARAGOCHHA,2,2,5,59,234
4,BILASPUR,5,5,16,445,"1,776"
5,Dapala,2,2,4,76,375
6,GHANTAPADA,1,1,2,83,309
7,Ghikundi,2,2,6,156,693
8,GUDVELIPADAR,4,4,9,313,"1,363"
9,JOGENDRAPUR,3,3,6,331,"1,311"
10,Khaliapali,1,1,1,9,50
11,KHATAKHATIA,7,6,7,92,509
12,KHUNTIGORA,1,1,2,57,226
13,LAMBASARI,5,5,8,201,805
14,MANAMUNDA,2,2,5,179,826
15,NARAYANPRASAD,1,1,1,5,26
16,PALASAGORA,4,4,6,150,668
17,RENGALI,3,3,8,97,374
18,RUNDIMAHUL,1,1,3,58,232
19,SIMILIPADAR,1,1,3,57,216
20,SUNDHIPADAR,1,1,1,6,34
21,Uma,1,1,2,22,106
,Total,53,52,107,"2,622","11,113"
