S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,228,505,437,"1,195","59,860","2,63,052"
1,Athagara,22,49,39,85,"5,169","24,800"
2,Banki,10,29,16,56,"3,658","14,746"
3,Banki Damapara,8,13,11,26,"1,812","7,485"
4,Baramba,21,54,48,89,"5,550","23,257"
5,Baranga,10,27,19,46,"2,940","13,135"
6,Cuttack Sadar,15,32,30,117,"6,223","28,010"
7,Kantapada,11,20,20,56,"3,293","13,179"
8,Mahanga,19,36,31,130,"3,873","17,428"
9,Narasinghpur,29,85,78,123,"8,022","36,624"
10,Niali,12,24,21,70,"2,534","10,710"
11,Nischintakoili,28,50,47,190,"5,279","21,637"
12,Salipur,19,36,29,110,"5,322","21,220"
13,Tangi Choudwar,18,43,42,82,"5,164","26,186"
14,Tigiria,6,7,6,15,"1,021","4,635"
,Total,228,505,437,"1,195","59,860","2,63,052"
