S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,56,173,118,248,"12,791","61,373"
1,Athagara,13,34,24,61,"3,604","17,152"
2,Banki,3,16,3,13,412,"1,812"
3,Banki Damapara,5,8,6,8,705,"3,150"
4,Baramba,8,31,25,48,"1,745","7,568"
5,Baranga,1,9,1,3,103,565
6,Cuttack Sadar,1,3,1,1,24,93
7,Mahanga,2,7,2,2,81,157
8,Narasinghpur,9,34,27,45,"1,840","9,095"
9,Tangi Choudwar,12,28,27,60,"3,950","20,279"
10,Tigiria,2,3,2,7,327,"1,502"
,Total,56,173,118,248,"12,791","61,373"
