S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,373,"1,842","7,800","4,50,909","20,18,669"
1,Athagara,34,185,372,"33,247","1,58,658"
2,Banki,20,102,457,"28,305","1,20,261"
3,Banki Damapara,17,41,267,"19,842","88,421"
4,Baramba,38,131,313,"38,283","1,64,120"
5,Baranga,16,75,230,"20,931","94,993"
6,Cuttack Sadar,23,114,535,"30,430","1,38,212"
7,Kantapada,14,84,330,"20,361","88,786"
8,Mahanga,37,192,"1,447","44,957","1,97,679"
9,Narasinghpur,37,225,531,"41,860","1,83,335"
10,Niali,23,124,572,"34,448","1,51,038"
11,Nischintakoili,41,212,"1,375","43,315","1,86,809"
12,Salipur,35,161,835,"45,049","1,93,718"
13,Tangi Choudwar,24,148,395,"32,815","1,69,146"
14,Tigiria,14,48,141,"17,066","83,493"
,Total,373,"1,842","7,800","4,50,909","20,18,669"
