S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,27,24,41,"3,805","15,689"
1,Badabarsingh,3,2,2,187,869
2,Badamba,2,2,3,138,578
3,Banamalipur,1,1,1,91,361
4,Bangarisinga,1,1,1,218,878
5,Dasarathipur,1,1,1,13,51
6,Diniari,1,1,1,57,188
7,Gopalpur,2,2,2,555,"2,178"
8,Gopinathpur,1,1,1,10,41
9,Judum,1,1,2,636,"2,502"
10,Kolaswar,4,4,10,575,"2,432"
11,Kunarpal,2,1,1,13,55
12,Malati,2,2,2,42,169
13,Manapur,1,1,3,369,"1,633"
14,Mangarajpur,1,1,3,117,543
15,Muga Gahira,1,1,5,431,"1,704"
16,Parajapada,1,1,1,285,"1,212"
17,Sanabarasinga,2,1,2,68,295
,Total,27,24,41,"3,805","15,689"
