S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,83,238,"23,093","1,03,809"
1,Belagochhia,2,10,"1,098","6,136"
2,Dadha Patana,3,7,"1,320","6,743"
3,Harianta,12,20,"1,339","6,009"
4,KHALARDA,4,19,"1,684","6,903"
5,KORKORA,7,21,936,"3,967"
6,Kunhei Pada,5,15,"1,421","6,432"
7,KURANGAPRADHAN,7,17,"1,671","9,180"
8,KURANGASASAN,9,20,"2,885","12,144"
9,Madhupur,3,6,822,"3,729"
10,Munduli,2,11,"1,404","7,504"
11,Nagari,9,24,"1,728","7,413"
12,Narajamarthapur,2,8,"1,369","4,869"
13,Ramdaspur,5,15,"1,358","6,159"
14,Sainso,7,14,"1,970","7,728"
15,Sribantapur,2,13,897,"3,832"
16,Usuma,4,18,"1,191","5,061"
,Total,83,238,"23,093","1,03,809"
