S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,33,30,128,"3,792","17,271"
1,Anandapur,6,5,6,243,"2,828"
2,Bajapura,2,2,12,148,"1,067"
3,Basudevpur,1,1,1,6,20
4,Bheda,1,1,1,11,122
5,Chahapada,2,2,10,220,924
6,Gopalpur,2,1,17,504,"2,009"
7,Haladia,1,1,5,88,337
8,Kundi,1,1,4,273,"1,144"
9,Kurujanga,1,1,1,219,448
10,Lalitagiri,1,1,7,154,690
11,Madhupur,1,1,5,98,284
12,Mahanga,4,4,19,543,"2,325"
13,Mulabasanta,2,1,7,219,"1,007"
14,Nahanga,2,2,3,151,556
15,Podamarei,1,1,7,257,976
16,Rahania,1,1,5,271,"1,133"
17,Samsarpur,2,2,5,110,346
18,Srikrishnapur,1,1,8,156,563
19,Usuma,1,1,5,121,492
,Total,33,30,128,"3,792","17,271"
