S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,58,51,78,"6,182","27,529"
1,Alara,1,1,2,85,360
2,Badabhuin,6,6,7,335,"1,454"
3,Balijhari,2,1,2,245,996
4,Bandhahuda,2,2,2,118,554
5,Basantpur,2,1,1,40,140
6,Bokada,2,1,1,58,262
7,Chakamunda,1,1,1,16,41
8,Ekadal,2,1,1,75,300
9,Fulapada,1,1,4,383,"1,536"
10,Jayamangal,3,3,3,392,"1,474"
11,Kakudia,4,4,9,914,"3,856"
12,Kamaladiha,3,3,4,269,"1,105"
13,Kanpur,5,3,8,298,"1,143"
14,Kathakhunta,4,4,6,725,"3,390"
15,Kokalaba,2,1,1,29,120
16,Nimasahi,1,1,1,29,105
17,Nizgarh,1,1,1,67,291
18,Nuapatana,3,3,4,394,"1,789"
19,Padamal,2,2,2,752,"3,464"
20,Paikapadapatana,1,1,1,21,75
21,Paikbarabati,3,3,6,299,"1,362"
22,Ranasinghpur,2,2,4,138,562
23,Regeda,2,2,3,271,"1,123"
24,Sagar,2,2,2,180,712
25,Saradhapur,1,1,2,49,"1,315"
,Total,58,51,78,"6,182","27,529"
