S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,273,815,"24,451","1,07,690"
1,Adas,16,52,988,"4,541"
2,Baghabar,7,25,685,"2,787"
3,Budhapal,19,38,"1,078","4,897"
4,Budido,11,27,888,"3,687"
5,Chadeimara,8,18,547,"2,438"
6,Gundiapali,11,56,"1,566","7,026"
7,Kantabahal,8,31,980,"4,326"
8,Karalaga,16,54,"1,629","7,761"
9,Khilei,6,35,902,"4,236"
10,Kolabasa,6,24,508,"2,266"
11,Kundheigola,11,44,989,"4,407"
12,Lulang,15,33,721,"3,325"
13,Malehipada,13,33,"1,105","4,666"
14,Nuadihi,9,32,907,"4,022"
15,Nualipada,18,46,"1,340","6,306"
16,Nuapada,2,12,379,"1,662"
17,Palasoma,13,28,901,"4,104"
18,Para,8,24,871,"3,666"
19,Reamal,10,40,"1,393","5,964"
20,Tabada,8,26,"1,031","4,120"
21,Tarang,16,36,"1,329","5,338"
22,Tentalbahal,8,19,550,"2,434"
23,Tinkbir,8,19,"1,091","4,481"
24,Tuhilamal,14,28,694,"2,951"
25,Tungamal,5,17,503,"2,419"
26,Utunia,7,18,876,"3,860"
,Total,273,815,"24,451","1,07,690"
