S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,45,45,72,"2,583","11,284"
1,Akhuapal,3,3,8,262,"1,222"
2,Ambapalasa,1,1,1,28,124
3,Badajhara,1,1,1,45,200
4,Barihapur,1,1,1,45,190
5,Basoi,1,1,1,29,135
6,Basulei,1,1,1,17,130
7,Chandapur,5,5,15,654,"2,798"
8,Damol,1,1,1,73,310
9,Gadaparajang,1,1,2,18,106
10,Gengutia,1,1,1,27,118
11,Jayapurakateni,6,6,9,298,"1,452"
12,Kalda,2,2,2,100,401
13,Kandarsinga,3,3,4,64,309
14,Kankadasoda,1,1,3,34,180
15,Kankil,1,1,3,59,286
16,Kantore,1,1,1,60,228
17,Kualo,1,1,1,10,62
18,Kumusi,1,1,1,19,75
19,Manikmara,2,2,4,126,530
20,Muktapasi,1,1,1,75,300
21,Mundeilo,2,2,2,39,188
22,Patarpada,1,1,1,26,98
23,Patharakhamba,1,1,1,10,53
24,Renthapat,2,2,3,97,389
25,Roda,1,1,1,148,582
26,Sanda,2,2,2,105,378
27,Saranga,1,1,1,115,440
,Total,45,45,72,"2,583","11,284"
