S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,59,57,108,"5,006","16,201"
1,Agarkhandi,2,2,2,15,135
2,Badakuturu,1,1,1,193,375
3,Bomika,2,2,2,145,446
4,Garabandha,6,6,8,416,"1,636"
5,Ghorani,4,4,5,144,325
6,Gosani,4,4,6,127,614
7,Kantragada,3,3,4,168,664
8,Katal Kaitha,5,5,12,485,"1,633"
9,Kharasandha,5,5,8,527,"1,191"
10,Labanyagada,4,4,17,929,"2,641"
11,Madhusudanpur,4,4,6,310,803
12,Rampa,11,9,22,"1,068","3,740"
13,Sabara,6,6,12,399,"1,835"
14,Tati Peti,1,1,1,30,70
15,Uppalada,1,1,2,50,93
,Total,59,57,108,"5,006","16,201"
