S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,454,427,"1,202","28,866","1,41,237"
1,Adava,7,7,28,"1,209","5,458"
2,Alliganda,3,3,11,671,"3,622"
3,Antaraba,15,14,37,883,"4,882"
4,Badakhani,9,9,28,490,"2,305"
5,Badasindhiba,10,9,33,752,"4,062"
6,Badeguda,4,3,14,298,"1,314"
7,Baghamari,9,9,39,816,"4,862"
8,Birikote,14,14,42,"1,230","5,997"
9,Chandiput,18,16,44,"1,192","5,852"
10,Chandragiri,5,5,20,"1,063","5,925"
11,Chudangapur,7,6,27,544,"3,187"
12,Damadua,15,14,39,781,"3,384"
13,Dambaguda,14,13,28,593,"2,742"
14,Dengiskhala,11,11,20,562,"2,790"
15,Dhadiamba,8,7,16,258,"1,704"
16,Dhepaguda,4,4,23,312,"1,412"
17,Garadama,14,13,29,679,"2,988"
18,Govindapur,17,13,46,903,"3,953"
19,Guluba,23,22,49,"1,328","6,237"
20,Gurujhuli,10,9,17,390,"1,957"
21,Jarrow,5,5,15,373,"1,592"
22,Jeeranga,11,10,18,546,"3,208"
23,Juba,9,9,20,459,"2,620"
24,Karachabadi,24,22,73,"1,302","5,692"
25,Katama,12,12,24,731,"3,195"
26,Kesariguda,6,6,16,353,"1,799"
27,Khariguda,12,12,35,855,"3,779"
28,Labarsingi,7,6,28,480,"3,140"
29,Liliguda,15,14,27,544,"2,489"
30,Luhagudi,14,14,49,879,"4,149"
31,Malasapadar,23,19,66,"1,010","4,614"
32,Mandimera,10,9,20,418,"2,053"
33,Manikapur,6,6,15,454,"2,229"
34,Merapalli,11,11,33,716,"3,355"
35,Mohana,13,13,29,"1,458","7,097"
36,Panigonda,10,10,28,958,"4,365"
37,Pindiki,15,15,29,640,"2,952"
38,Raipanka,12,12,23,482,"2,307"
39,Sikulipadar,22,21,64,"1,254","5,969"
,Total,454,427,"1,202","28,866","1,41,237"
