S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,210,207,373,"11,653","54,215"
1,Abarsing,10,10,23,925,"4,780"
2,Anagha,17,16,24,559,"2,690"
3,Bastriguda,8,8,12,472,"1,988"
4,Chellagada,11,10,21,867,"4,662"
5,Chelligada,8,8,13,225,"1,087"
6,Dabaraguda,11,11,22,480,"2,425"
7,Mahendragada,17,17,43,957,"4,557"
8,Mangarajpur,14,14,22,781,"3,449"
9,Parisala,6,6,8,351,"1,503"
10,Purunapani,24,24,32,770,"3,673"
11,R Udayagiri,6,6,17,294,"1,533"
12,Ramagiri,2,2,9,991,"3,151"
13,Randiva,7,7,14,621,"2,822"
14,Sabarpalli,12,12,28,"1,125","4,536"
15,Sialilati,27,26,40,964,"4,730"
16,Subalada,11,11,18,622,"2,910"
17,Tabarsingi,19,19,27,649,"3,719"
,Total,210,207,373,"11,653","54,215"
