S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,207,194,420,"15,539","63,975"
1,Ameda,7,6,9,473,"2,284"
2,Dambala,8,8,25,"1,098","4,752"
3,Engarsingi,5,4,13,577,"1,894"
4,Gandahati,16,14,24,803,"3,922"
5,Gangabada,23,23,33,832,"3,031"
6,Jallanga,9,8,23,808,"3,716"
7,Jiranga,15,15,24,792,"3,156"
8,Kainpur,23,21,36,"1,095","4,779"
9,Karadasingi,11,10,35,"1,327","5,921"
10,Kerandi,8,8,19,317,"1,586"
11,Kumulsingi,3,3,11,406,"1,786"
12,Lailai,10,10,21,918,"3,455"
13,Lakshmipur,13,12,19,791,"3,805"
14,Loba,3,2,8,430,"1,603"
15,Marlaba,7,6,27,884,"3,845"
16,Narayanapur,4,4,8,218,969
17,Putara,10,9,23,997,"3,130"
18,Rayagada,5,5,8,292,"1,306"
19,S.karadasing,15,14,27,872,"3,414"
20,Sanatundi,7,7,16,921,"3,004"
21,Talamunda,5,5,11,688,"2,617"
,Total,207,194,420,"15,539","63,975"
