S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,503,"2,785","6,816","7,24,766","31,74,202"
1,Aska,27,102,352,"33,115","1,49,554"
2,Beguniapada,23,135,190,"27,644","1,26,927"
3,Bellaguntha,18,90,214,"28,172","1,23,717"
4,Bhanjanagar,22,133,531,"31,454","1,40,723"
5,Buguda,21,92,277,"26,313","1,18,973"
6,Chatrapur,18,71,224,"39,137","1,50,508"
7,Chikiti,17,124,280,"31,800","1,31,037"
8,Dharakote,18,170,344,"29,484","1,22,458"
9,Digapahandi,25,206,301,"40,073","1,78,263"
10,Ganjam,15,92,251,"26,530","1,20,973"
11,Hinjilicut,21,52,194,"27,105","1,18,937"
12,Jagannathprasad,25,143,621,"31,989","1,42,664"
13,Kabisuryanagar,21,74,102,"25,068","1,18,726"
14,Khallikote,29,151,333,"44,553","1,80,873"
15,Kukudakhandi,22,80,270,"37,665","1,58,610"
16,Patrapur,23,294,433,"32,676","1,43,847"
17,Polosara,26,125,209,"32,340","1,47,596"
18,Purushottampur,26,92,141,"30,678","1,41,249"
19,Rangeilunda,32,79,320,"45,805","1,94,542"
20,Sanakhemundi,26,135,323,"40,473","1,68,604"
21,Sheragada,22,95,327,"30,427","1,44,437"
22,Surada,26,250,579,"32,265","1,50,984"
,Total,503,"2,785","6,816","7,24,766","31,74,202"
