S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,26,25,43,"2,352","10,524"
1,Ambiki,1,1,1,32,130
2,Balitutha.,1,1,1,61,520
3,Bhitaraandhari,2,2,3,345,"1,505"
4,Erasama,2,2,2,66,417
5,Gadakujang,2,2,7,391,"2,260"
6,Goda,1,1,2,169,778
7,Janakadeipur,2,2,6,318,"1,285"
8,Jappa,2,2,2,19,96
9,Jirailo,2,1,1,102,516
10,Krushnachandrapur,5,5,8,404,"1,102"
11,NARADIA,1,1,1,8,71
12,Nuadihi,1,1,1,22,92
13,Pokhariapada,3,3,5,208,844
14,Somepur,1,1,3,207,908
,Total,26,25,43,"2,352","10,524"
