S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,34,34,53,"3,812","14,785"
1,Achutibasanta,2,2,3,157,686
2,Anaka,4,4,7,194,926
3,Badachana,3,3,4,496,"1,800"
4,Badaghumuri,5,5,5,63,315
5,Balichandrapur,1,1,3,104,540
6,Bandalo,1,1,1,25,25
7,Bantala,1,1,1,41,175
8,Barada,1,1,2,171,757
9,Champapur,1,1,4,174,760
10,Charinangal,1,1,1,27,113
11,Dhanmandal,1,1,1,60,159
12,Gopalpur,1,1,2,225,613
13,Kaimatia,1,1,2,171,678
14,Kolangiri,1,1,4,617,"2,358"
15,Kundal,1,1,1,57,272
16,Radhadeipur,5,5,7,335,"1,379"
17,Raipur,1,1,2,545,"1,944"
18,Santipur,1,1,1,310,"1,102"
19,Solar,1,1,1,9,39
20,Sunguda,1,1,1,31,144
,Total,34,34,53,"3,812","14,785"
