S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,28,27,50,"3,424","15,724"
1,BADACHANA,2,2,2,30,155
2,Balichandrapur,1,1,5,64,533
3,Balipadia,1,1,1,35,63
4,Bhusandapur,2,2,2,360,"1,531"
5,Chanditala,1,1,1,46,117
6,Kaimatia,3,3,9,508,"1,972"
7,Nelia,1,1,2,77,329
8,Palei,1,1,2,150,491
9,Paria,2,2,2,200,849
10,Radhadeipur,1,1,1,25,129
11,Salapada,3,3,3,209,989
12,Samia,5,4,15,"1,355","6,672"
13,Siha,1,1,1,217,"1,069"
14,Solar,2,2,2,105,492
15,Sunguda,2,2,2,43,333
,Total,28,27,50,"3,424","15,724"
