S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,107,304,"29,785","1,31,207"
1,Bangarkota,5,10,894,"3,759"
2,Chandia,5,13,"1,205","4,920"
3,Chitri,2,9,"1,248","5,414"
4,Deulkana,5,22,507,"1,862"
5,Dhuligarh,3,9,"1,806","5,676"
6,Gobardhanpur,9,24,"1,157","4,641"
7,Jakhapura,2,9,"1,142","5,624"
8,Khapuriapada,5,6,"1,395","4,134"
9,Kiajhar,6,24,"2,954","9,982"
10,Kumbhiragadia,5,9,"1,902","6,082"
11,Mangalpur,5,10,472,"3,794"
12,Mantira,3,10,720,"4,336"
13,Nachhipura,3,10,"1,065","4,124"
14,Nadiabhanga,5,19,"1,338","7,768"
15,Ollala,4,11,"1,049","4,369"
16,Ostapal,8,18,"1,144","6,290"
17,Pankapal,4,12,"1,023","4,712"
18,Rachipur,2,7,970,"4,318"
19,Ranagundi,5,13,"1,633","6,858"
20,Ranipada,8,15,"1,305","5,837"
21,Salijanga,4,21,"1,615","7,339"
22,Trijanga,1,8,"1,997","13,696"
23,Uchhabali,8,15,"1,244","5,672"
,Total,107,304,"29,785","1,31,207"
