S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,54,54,118,"14,231","66,014"
1,Ampoloba,2,2,2,110,588
2,Bandhagan,4,4,10,945,"4,448"
3,Baragadia,1,1,1,220,"1,160"
4,Chingudiapal,6,6,7,"1,061","5,959"
5,Duburi,1,1,1,80,265
6,Dudhujori,4,4,9,"1,097","4,670"
7,Gobarghati,2,2,9,"1,441","7,057"
8,Haripur,1,1,1,171,509
9,Kaliapani,3,3,4,714,"2,468"
10,Kankadapal,5,5,7,"1,668","7,828"
11,Kansa,5,5,5,792,"4,499"
12,Kharadi,3,3,10,783,"3,213"
13,Kuhika,1,1,4,409,"2,025"
14,Lemboo,4,4,9,559,"2,223"
15,Olia,1,1,3,300,"1,502"
16,Pimpudia,3,3,5,972,"4,548"
17,Ransola,4,4,5,432,"2,452"
18,Sansailo,1,1,9,713,"3,089"
19,Sarangpur,2,2,9,"1,068","4,543"
20,Sukinda,1,1,8,696,"2,968"
,Total,54,54,118,"14,231","66,014"
