S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,62,62,293,"15,594","61,401"
1,Attabira,2,2,11,569,"2,459"
2,Banjari,4,4,11,"1,012","4,134"
3,Bhaurkhol,3,3,14,657,"2,702"
4,Bhikampali,3,3,10,485,"1,991"
5,Dolagaon,3,3,17,"1,375","4,637"
6,Kadamdihi,2,2,8,242,"1,018"
7,Kanaktora,1,1,2,36,321
8,Kandeikela,1,1,2,204,826
9,Katarbaga,3,3,6,434,"1,832"
10,Kudaloi,3,3,12,"1,348","6,241"
11,Kumarbandha,3,3,21,"1,046","3,187"
12,Kusraloi,5,5,19,632,"2,964"
13,Lakhanpur,5,5,27,"1,124","4,576"
14,Machida,2,2,4,101,409
15,Palsada,2,2,4,175,786
16,Panchagaon,1,1,2,244,983
17,Pandari,1,1,2,119,544
18,Pipilimal,3,3,17,"1,725","7,066"
19,Rampela,2,2,33,"1,120","3,569"
20,Remenda,2,2,18,858,"3,437"
21,Samerbaga,2,2,4,187,759
22,Sarandamal,2,2,3,278,939
23,Sunari,3,3,17,573,"2,312"
24,Talia,3,3,26,972,"3,383"
25,Telenpali,1,1,3,78,326
,Total,62,62,293,"15,594","61,401"
