S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,204,545,"27,615","1,45,760"
1,Ayatpur,7,23,"1,143","6,362"
2,Bhabanipur,9,20,"1,221","6,605"
3,Bishnudiha,8,27,"1,526","7,751"
4,DAMIABARABERA,25,61,"1,570","6,909"
5,Deogaon,7,21,"1,198","6,415"
6,Galua,12,37,"2,093","11,675"
7,Gambharimunda,8,19,929,"5,392"
8,Kulei,11,36,"1,660","8,955"
9,Kumurangasasan,16,37,"2,128","11,466"
10,Moramori,6,13,"1,276","6,688"
11,Nachuni,7,26,"2,209","12,044"
12,Nandapur,20,41,"2,171","11,260"
13,Narendrapur,16,35,"1,750","10,478"
14,NILADRIPRASAD,25,68,"1,610","7,862"
15,Torasingh,6,23,905,"4,501"
16,Tumuraputsasan,9,29,"2,076","10,137"
17,Veteswar,12,29,"2,150","11,260"
,Total,204,545,"27,615","1,45,760"
