S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,217,619,"30,720","1,44,903"
1,Arikama,8,23,"1,033","5,656"
2,Asaraladala,8,14,916,"4,116"
3,Badakumari,16,47,"2,819","13,139"
4,Bankoidesha,14,37,"1,746","7,919"
5,BOLOGARH,13,45,"1,854","10,443"
6,Dabaradhua Patana,12,35,"2,297","9,462"
7,Daleisahi,5,24,"1,755","8,570"
8,Dhalapathara,5,23,"1,039","4,081"
9,Fasioda,8,21,"1,443","5,582"
10,Gediapalli,13,37,959,"4,193"
11,GOPALPUR,20,52,"1,716","8,992"
12,Kadaba,14,36,"1,648","7,551"
13,Kalanga,16,38,"1,628","6,967"
14,Khanguria,19,57,"2,220","11,744"
15,Manibandha,10,25,"1,426","6,898"
16,Patapurasasana,8,23,"1,075","5,389"
17,Pichukuli,6,28,"1,295","5,950"
18,Sagaragaon,17,30,"2,436","11,360"
19,Sanapadara,5,24,"1,415","6,891"
,Total,217,619,"30,720","1,44,903"
