S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,89,421,"23,282","1,18,489"
1,Angarpada,8,36,"1,636","9,085"
2,Benapanjari,5,20,"1,453","8,152"
3,Chhanaghar,6,22,"2,323","10,143"
4,Chhatabar,9,48,"1,648","8,902"
5,Gangapada,5,24,"1,797","8,611"
6,Haripur,5,24,"1,381","6,243"
7,Jamukoli,5,41,"1,206","6,648"
8,Janala,5,43,"2,068","9,877"
9,Kantia,4,26,"2,216","10,148"
10,Madanpur,7,26,"1,554","7,608"
11,Padanpur,7,50,"2,654","11,769"
12,Panchupalli,7,17,773,"3,852"
13,Pradhan Sahi,8,17,643,"5,753"
14,Taraboi,5,22,"1,040","6,060"
15,Tirimal,3,5,890,"5,638"
,Total,89,421,"23,282","1,18,489"
