S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,28,24,39,"4,867","26,222"
1,Achutapurpatna,3,2,2,200,835
2,Badapokharia,1,1,1,53,214
3,Balipatpur,2,2,2,931,"5,290"
4,Bhusandapur,2,2,7,786,"4,789"
5,Chhanagiri,2,1,2,236,"1,112"
6,Dia,1,1,1,37,160
7,Kamaguru,1,1,2,17,94
8,Kantalabai,1,1,1,601,"3,304"
9,Kunjuri,7,6,8,151,783
10,Mangalajodi,2,2,7,975,"5,555"
11,Nirakarpur,1,1,1,8,38
12,Nuagarh,1,1,2,30,162
13,Sanarautapada,1,1,1,612,"2,678"
14,Tangi,1,1,1,20,102
15,Ujalagopinathpur,2,1,1,210,"1,106"
,Total,28,24,39,"4,867","26,222"
